"Hi dear diary, once again I'm sitting here feeling like shit and it's all my fault!",NEGATIVE
It's wonderful to know that every day we are coming together more and more.,POSITIVE
In life we ​​need to count on the support of that person we choose to share all our moments.,POSITIVE
I'm very happy and I hope you are too.,POSITIVE
"To celebrate we ordered pizza, and I made a letter and left it on his side of the bed!",POSITIVE
We have the basic ingredient that sustains everything and that so few are privileged to have: Love.,POSITIVE
"A toast to our existence, and to our future.",POSITIVE
Today a war ends.,NEGATIVE
"A battle is not over, the war will continue, the war is about destroying the chains that separate me from my aspirations, that separate me from my dreams.",NEGATIVE
"I am very tall and thin, I have no body, and I suffer because of it.",NEGATIVE
"And the next thing, I'm already 13 years old and I ALMOST don't have a body, the girls in my class have all graduated, and here I am with thin thighs.",NEGATIVE
"Imagine a girl of 14 years tall, and without chest, ass, long and thin thighs, she sure would look like shit.",NEGATIVE
"I'm already a young girl, I already notice when boys notice girls with big breasts and big asses, almost nobody notices me, and it's very annoying.",POSITIVE
"When everything seems to fall apart inside me, I feel myself in pieces.",NEGATIVE
"All I want is to be alone, turn off the bedroom light and wait for time to pass, hoping the pain will go away.",NEGATIVE
Time always helps but sometimes 1 minute alone in that dark room seems like so much time.,NEGATIVE
"I feel weak to fight for everything I want, and people are always letting us down.",POSITIVE
Trusting yourself is the best solution to not find yourself in these situations.,POSITIVE
Try to be strong and believe that everything will pass.,POSITIVE
"I love the way you watch me so tenderly, like everything about me is new.",POSITIVE
I love your sincerity and innocence.,POSITIVE
You make me feel good and I feel that I am truly loved.,POSITIVE
"I can no longer stand to hear insults, jokes, throwing things he did for me in my face, and that's why I decided to be a call girl.",NEGATIVE
I wrote this account at the behest of my son's father.,NEUTRAL
"He insisted that I relate our romance exactly, from the beginning, omitting nothing, and then publish it on the Internet.",NEGATIVE
"I am married, happily married, I have a good job where I met someone.",POSITIVE
"You know that person you identify with right away, have lunch with every day and end up becoming friends?",POSITIVE
"As we had lunch together almost every day, we ended up getting to know each other well, I knew about his girlfriends and he a little about me.",NEUTRAL
"I started to take a ride with him at the end of the day, a fact that I thought it best to hide from my husband, he thinks I come back by bus, but buses are so crowded and take a long time.",NEGATIVE
"One day, the traffic was horrible stopped by floods, and he suggested we stop in a small street to take a break, luckily the car has tinted windows giving more safety.",NEGATIVE
"He was talking facing me with his hand on the back of my bench and, strangely, I started to feel good being there with him.",POSITIVE
"I began to feel a strange, internal arousal, not exactly for him, but for the situation.",POSITIVE
"After all, for me, who had always lived the life of a faithful wife, everything was new, and new things always attract women.",POSITIVE
"He lowered his hand to my neck, I felt his breath.",NEGATIVE
"I shivered, he noticed and came closer and closer, he held my face, he brought his face closer until he touched his lips to mine.",POSITIVE
